sno,registration_no,project_name,promoter_name,district,project_type
967,UPRERAPRJ5863,SUPERTECH GOLF COUNTRY (PHASE-III),SUPERTECH TOWNSHIP PROJECT LIMITED,Gautam Buddha Nagar,Residential
968,UPRERAPRJ5539,SUPERTECH NORTHEYE (PHASE-II),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
969,UPRERAPRJ7324,SUPERTECH ORB-O AND B (PHASE-IV),SUPERTECH LIMITED & DWEEP INFRA PROJECT PRIVATE LIMITED,Gautam Buddha Nagar,Residential
970,UPRERAPRJ5551,SUPERTECH ORB-R (PHASE-III),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
971,UPRERAPRJ8267,Supertech Upcountry (Plotted),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
972,UPRERAPRJ5582,SUPERTECH UPCOUNTRY GH-01 (PHASE-I),SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
973,UPRERAPRJ8249,Supertech Upcountry GH-01 Phase-02,SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
974,UPRERAPRJ8263,Supertech Upcountry GH-02 Phase-01,SUPERTECH LIMITED,Gautam Buddha Nagar,Residential
975,UPRERAPRJ16075,SURYA APPARTMENT-1,SURYANSH BUILDMART PRIVATE LIMITED,Gautam Buddha Nagar,Residential
976,UPRERAPRJ8859,SUSHANT SERENE RESIDENCY PH1 T7B1 & T6D,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,Gautam Buddha Nagar,Residential
977,UPRERAPRJ8951,"SUSHANT SERENE RESIDENCY PH2 T3E,T4E,T5D",ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,Gautam Buddha Nagar,Residential
978,UPRERAPRJ4938,SUSHANT SERENE RESIDENCY PHASE 3 TOWER 10 (D) & T,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,Gautam Buddha Nagar,Residential
979,UPRERAPRJ4969,SUSHANT SERENE RESIDENCY PHASE 4 TOWER T8B & T12E&,ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,Gautam Buddha Nagar,Residential
980,UPRERAPRJ6346,Sushant Square,M/s Uttam Steels & Associates { Consortium) throug; ANSAL HI-TECH TOWNSHIPS LTD,Gautam Buddha Nagar,Commercial
981,UPRERAPRJ709456/07/2026,SVG CENTRAL SQUARE,SHRI VINAYAKA EXPO PLAZA LLP,Gautam Buddha Nagar,Commercial
982,UPRERAPRJ825311,SVG GALLERIA,SVG GALLERIA PRIVATE LIMITED,Gautam Buddha Nagar,Commercial
